t,F
1.911333333000000039e+03,2.116697302349466980e+01
1.911416666999999961e+03,2.116589176195338240e+01
1.911500000000000000e+03,2.116467722579671573e+01
1.911583333000000039e+03,2.116359443206220092e+01
1.911666666999999961e+03,2.893824847614850881e+01
1.911750000000000000e+03,2.893828301508981582e+01
1.911833333000000039e+03,2.893831568769652307e+01
1.911916666999999961e+03,2.893834493548900966e+01
1.912000000000000000e+03,2.893837387556506613e+01
1.912083333000000039e+03,2.893840094943731245e+01
1.912166666999999961e+03,2.893842459863556016e+01
1.912250000000000000e+03,2.893844794022954048e+01
1.912333333000000039e+03,2.893846941574180320e+01
1.912416666999999961e+03,2.893848746670875727e+01
1.912500000000000000e+03,2.893850521017653676e+01
1.912583333000000039e+03,2.893951012643461596e+01
1.912666666999999961e+03,1.759610174893531109e+01
1.912750000000000000e+03,1.759269963771053824e+01
1.912833333000000039e+03,1.758929605843738742e+01
1.912916666999999961e+03,1.758589005609321276e+01
1.913000000000000000e+03,1.758248352489384914e+01
1.913083333000000039e+03,1.757907550990437784e+01
1.913166666999999961e+03,1.757566505573841908e+01
1.913250000000000000e+03,1.757225405724234690e+01
1.913333333000000039e+03,1.756884155912049650e+01
1.913416666999999961e+03,1.756542660560972990e+01
1.913500000000000000e+03,1.756201109221264289e+01
1.913583333000000039e+03,1.755849891198343471e+01
1.913666666999999961e+03,2.122430164257870544e+01
1.913750000000000000e+03,2.122566064378500528e+01
1.913833333000000039e+03,2.122701823557052947e+01
1.913916666999999961e+03,2.122837308323442684e+01
1.914000000000000000e+03,2.122972785385691807e+01
1.914083333000000039e+03,2.123108121293995509e+01
1.914166666999999961e+03,2.123243182517870764e+01
1.914250000000000000e+03,2.123378235886882948e+01
1.914333333000000039e+03,2.123513147890799502e+01
1.914416666999999961e+03,2.123647784939012695e+01
1.914500000000000000e+03,2.123782413982063133e+01
1.914583333000000039e+03,2.123916901449523920e+01
1.914666666999999961e+03,8.453272701128785371e+00
1.914750000000000000e+03,8.449504649962790381e+00
1.914833333000000039e+03,8.445733179691245596e+00
1.914916666999999961e+03,8.441955902507505272e+00
1.915000000000000000e+03,8.438177590693078045e+00
1.915083333000000039e+03,8.434395856834111527e+00
1.915166666999999961e+03,8.430608311953813327e+00
1.915250000000000000e+03,8.426819730682305831e+00
1.915333333000000039e+03,8.423027724434289709e+00
1.915416666999999961e+03,8.419229903064890053e+00
1.915500000000000000e+03,8.415431043549940426e+00
1.915583333000000039e+03,8.411628756138449958e+00
1.915666666999999961e+03,1.581664535188093978e+01
1.915750000000000000e+03,1.581718934267150445e+01
1.915833333000000039e+03,1.581773189421815395e+01
1.915916666999999961e+03,1.581827184942163456e+01
1.916000000000000000e+03,1.581881152371339283e+01
1.916083333000000039e+03,1.581934975989631198e+01
1.916166666999999961e+03,1.581988540115714237e+01
1.916250000000000000e+03,1.582042076234663419e+01
1.916333333000000039e+03,1.582095468655324844e+01
1.916416666999999961e+03,1.582148601724696491e+01
1.916500000000000000e+03,1.582201706870175961e+01
1.916583333000000039e+03,1.582254668429071920e+01
1.916666666999999961e+03,6.634094942763744118e-01
1.916750000000000000e+03,6.567821813272149978e-01
1.916833333000000039e+03,6.501532797322967516e-01
1.916916666999999961e+03,6.435202615424305828e-01
1.917000000000000000e+03,6.368881985350004493e-01
1.917083333000000039e+03,6.302545622610625786e-01
1.917166666999999961e+03,6.236168263638394160e-01
1.917250000000000000e+03,6.169800595267356247e-01
1.917333333000000039e+03,6.103417348904943696e-01
1.917416666999999961e+03,6.036993277068689601e-01
1.917500000000000000e+03,5.970579035358224429e-01
1.917583333000000039e+03,5.904149371223413878e-01
1.917666666999999961e+03,1.263027590564033176e+01
1.917750000000000000e+03,1.263196830057525766e+01
1.917833333000000039e+03,1.263365824509032009e+01
1.917916666999999961e+03,1.263534396139263372e+01
1.918000000000000000e+03,1.263702900888295488e+01
1.918083333000000039e+03,1.263871160945405236e+01
1.918166666999999961e+03,1.264038998623821897e+01
1.918250000000000000e+03,1.264148223413230454e+01
1.918333333000000039e+03,1.264315761127210713e+01
1.918416666999999961e+03,1.264424347365578960e+01
1.918500000000000000e+03,1.264591407721575322e+01
1.918583333000000039e+03,1.264699711249729397e+01
1.918666666999999961e+03,-6.108032555364193428e+00
1.918750000000000000e+03,-6.108024935956485990e+00
1.918833333000000039e+03,-6.108017068782908510e+00
1.918916666999999961e+03,-6.108008747579786402e+00
1.919000000000000000e+03,-6.108000384509007397e+00
1.919083333000000039e+03,-6.107991773332290819e+00
1.919166666999999961e+03,-6.107982707671289369e+00
1.919250000000000000e+03,-6.107973599882617677e+00
1.919333333000000039e+03,-6.107964243616210709e+00
1.919416666999999961e+03,-6.107954432369900211e+00
1.919500000000000000e+03,-6.108143691379521734e+00
1.919583333000000039e+03,-6.108133624995057964e+00
1.919666666999999961e+03,-6.948184571058216852e-01
1.919750000000000000e+03,-6.956150347397178635e-01
1.919833333000000039e+03,-6.964144392947190232e-01
1.919916666999999961e+03,-6.972190687522137331e-01
1.920000000000000000e+03,-6.980241258398359738e-01
1.920083333000000039e+03,-6.988320086362594941e-01
1.920166666999999961e+03,-6.996451148137570186e-01
1.920250000000000000e+03,-7.004586476989216326e-01
1.920333333000000039e+03,-7.012750050657643452e-01
1.920416666999999961e+03,-7.020965842776315524e-01
1.920500000000000000e+03,-7.029185892660163582e-01
1.920583333000000039e+03,-7.037434174960898181e-01
1.920666666999999961e+03,5.031868749273538111e-01
1.920750000000000000e+03,5.085329374456830642e-01
1.920833333000000039e+03,5.138839381755322400e-01
1.920916666999999961e+03,5.192428411105528552e-01
1.921000000000000000e+03,5.246037240163914372e-01
1.921083333000000039e+03,5.299695500678044402e-01
1.921166666999999961e+03,5.353432856908310056e-01
1.921250000000000000e+03,5.407190037587487064e-01
1.921333333000000039e+03,5.460996698782916159e-01
1.921416666999999961e+03,5.514882529071533090e-01
1.921500000000000000e+03,5.568788208264522366e-01
1.921583333000000039e+03,5.622743416763892332e-01
1.921666666999999961e+03,-6.115704082443802925e+00
1.921750000000000000e+03,-6.115697965473247066e+00
1.921833333000000039e+03,-6.115691640786766747e+00
1.921916666999999961e+03,-6.115684935521509935e+00
1.922000000000000000e+03,-6.115678195051498456e+00
1.922083333000000039e+03,-6.115671246538068040e+00
1.922166666999999961e+03,-6.115663917007551298e+00
1.922250000000000000e+03,-6.115656552020732661e+00
1.922333333000000039e+03,-6.115648978631018196e+00
1.922416666999999961e+03,-6.115641023745209459e+00
1.922500000000000000e+03,-6.115633033128593965e+00
1.922583333000000039e+03,-6.115624833717853370e+00
1.922666666999999961e+03,1.594384072472313640e+01
1.922750000000000000e+03,1.594340159359724929e+01
1.922833333000000039e+03,1.594296559345614561e+01
1.922916666999999961e+03,1.594253534768395220e+01
1.923000000000000000e+03,1.594210561044643271e+01
1.923083333000000039e+03,1.594167900503316559e+01
1.923166666999999961e+03,1.594125815508989241e+01
1.923250000000000000e+03,1.594083781423793234e+01
1.923333333000000039e+03,1.594042060603042366e+01
1.923416666999999961e+03,1.594000915436471111e+01
1.923500000000000000e+03,1.593959821233375607e+01
1.923583333000000039e+03,1.593920301103510972e+01
1.923666666999999961e+03,-1.461415900502307741e+00
1.923750000000000000e+03,-1.435147141286732264e+00
1.923833333000000039e+03,-1.408816497539303159e+00
1.923916666999999961e+03,-1.382421512718807755e+00
1.924000000000000000e+03,-1.357240390518216877e+00
1.924083333000000039e+03,-1.345056202225278552e+00
1.924166666999999961e+03,-1.319787917970689728e+00
1.924250000000000000e+03,-1.307559984785972018e+00
1.924333333000000039e+03,-1.282210060127301432e+00
1.924416666999999961e+03,-1.269935862511478275e+00
1.924500000000000000e+03,-1.244468222412022707e+00
1.924583333000000039e+03,-1.232153114379884062e+00
1.924666666999999961e+03,2.102071591551515084e+01
1.924750000000000000e+03,2.102123782414619413e+01
1.924833333000000039e+03,2.102175893816730579e+01
1.924916666999999961e+03,2.102227964418925055e+01
1.925000000000000000e+03,2.102279915836053448e+01
1.925083333000000039e+03,2.102331786823198101e+01
1.925166666999999961e+03,2.102383615756917123e+01
1.925250000000000000e+03,2.102435324818988249e+01
1.925333333000000039e+03,2.102486952480251858e+01
1.925416666999999961e+03,2.102538536832017257e+01
1.925500000000000000e+03,2.102590000624369537e+01
1.925583333000000039e+03,2.102641382043141505e+01
1.925666666999999961e+03,1.753519208174861177e+01
1.925750000000000000e+03,1.754386947183265022e+01
1.925833333000000039e+03,1.755253990001097009e+01
1.925916666999999961e+03,1.756120558066667314e+01
1.926000000000000000e+03,1.756986203818232894e+01
1.926083333000000039e+03,1.757851148939377950e+01
1.926166666999999961e+03,1.758875011927111132e+01
1.926250000000000000e+03,1.758525004113313273e+01
1.926333333000000039e+03,1.759548283026955673e+01
1.926416666999999961e+03,1.759199321687337303e+01
1.926500000000000000e+03,1.760222235915400546e+01
1.926583333000000039e+03,1.759873876769311707e+01
1.926666666999999961e+03,1.910835036709132950e+01
1.926750000000000000e+03,1.911162026814201909e+01
1.926833333000000039e+03,1.911478239056112827e+01
1.926916666999999961e+03,1.911804379126240860e+01
1.927000000000000000e+03,1.912119891319907339e+01
1.927083333000000039e+03,1.912445457457644338e+01
1.927166666999999961e+03,1.912760132327955631e+01
1.927250000000000000e+03,1.913084987089500899e+01
1.927333333000000039e+03,1.913399100284964405e+01
1.927416666999999961e+03,1.913590340882876006e+01
1.927500000000000000e+03,1.913903832255544302e+01
1.927583333000000039e+03,1.914094700108695690e+01
1.927666666999999961e+03,1.601992063064783878e+01
1.927750000000000000e+03,1.604231692086038663e+01
1.927833333000000039e+03,1.606467512723680358e+01
1.927916666999999961e+03,1.608699773613501094e+01
1.928000000000000000e+03,1.610927945164740649e+01
1.928083333000000039e+03,1.613152276533315188e+01
1.928166666999999961e+03,1.615373014982494837e+01
1.928250000000000000e+03,1.616182680839884611e+01
